 2017-02-22 09:15:50,263 [P11480/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.9 application starting on DESKTOP-C826T1M
 2017-02-22 09:15:50,289 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-02-22 09:15:50,307 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 17ms)
 2017-02-22 09:15:50,355 [P11480/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-02-22 09:15:50,356 [P11480/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-02-22 09:15:50,360 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-02-22 09:15:50,620 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 259ms)
 2017-02-22 09:15:50,635 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-02-22 09:15:50,643 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 7ms)
 2017-02-22 09:15:50,643 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-02-22 09:15:50,653 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 10ms)
 2017-02-22 09:15:50,666 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-02-22 09:15:50,675 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 8ms)
 2017-02-22 09:15:50,675 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
 2017-02-22 09:15:50,685 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 0 (took 9ms)
 2017-02-22 09:15:50,714 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
 2017-02-22 09:15:50,722 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 0 (took 8ms)
 2017-02-22 09:15:50,723 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
 2017-02-22 09:15:50,731 [P11480/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 0 (took 7ms)
 2017-02-22 09:15:51,616 [P11480/D2/T1] INFO  Umbraco.Core.DatabaseContext - CanConnect = True
 2017-02-22 09:15:51,825 [P11480/D2/T1] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - Initializing Umbraco internal event handlers for cache refreshing
 2017-02-22 09:15:51,839 [P11480/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Initializing Examine and binding to business logic events
 2017-02-22 09:15:51,895 [P11480/D2/T1] INFO  Umbraco.Web.Search.ExamineEvents - Adding examine event handlers for index providers: 3
 2017-02-22 09:15:51,915 [P11480/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco application startup complete (took 1709ms)
 2017-02-22 09:15:52,047 [P11480/D2/T9] INFO  Umbraco.Core.Sync.ApplicationUrlHelper - ApplicationUrl: http://localhost:49749/umbraco (UmbracoModule request)
 2017-02-22 09:15:52,181 [P11480/D2/T9] INFO  umbraco.content - Load Xml from file...
 2017-02-22 09:15:52,188 [P11480/D2/T9] INFO  umbraco.content - Loaded Xml from file.
 2017-02-22 09:15:52,614 [P11480/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IParameterEditor
 2017-02-22 09:15:52,628 [P11480/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IParameterEditor, found 0 (took 13ms)
 2017-02-22 09:15:56,748 [P11480/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.Persistence.Mappers.BaseMapper
 2017-02-22 09:15:56,757 [P11480/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.Persistence.Mappers.BaseMapper, found 0 (took 8ms)
 2017-02-22 09:15:56,879 [P11480/D2/T9] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.cms.businesslogic.macro.IMacroEngine
 2017-02-22 09:15:56,887 [P11480/D2/T9] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.cms.businesslogic.macro.IMacroEngine, found 0 (took 8ms)
 2017-02-22 09:16:48,822 [P4900/D2/T1] INFO  Umbraco.Core.CoreBootManager - Umbraco 7.5.9 application starting on DESKTOP-C826T1M
 2017-02-22 09:16:48,844 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Determining hash of code files on disk
 2017-02-22 09:16:48,859 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Hash determined (took 14ms)
 2017-02-22 09:16:48,892 [P4900/D2/T1] INFO  Umbraco.Core.MainDom - Acquiring MainDom...
 2017-02-22 09:16:48,893 [P4900/D2/T1] INFO  Umbraco.Core.MainDom - Acquired MainDom.
 2017-02-22 09:16:48,897 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
 2017-02-22 09:16:49,156 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 0 (took 259ms)
 2017-02-22 09:16:49,285 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
 2017-02-22 09:16:49,285 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
 2017-02-22 09:16:49,286 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
 2017-02-22 09:16:49,286 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 0 (took 0ms)
 2017-02-22 09:16:49,296 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.Mvc.SurfaceController
 2017-02-22 09:16:49,297 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 0 (took 0ms)
 2017-02-22 09:16:49,297 [P4900/D2/T1] INFO  Umbraco.Core.PluginManager - Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
